state1,state2,set,statepair,to,value,from
assertive,confident,1,assertive_confident,0.0,0.70881474,0.0
assertive,grouchy,1,assertive_grouchy,1.0,0.58149105,0.0
assertive,sad,1,assertive_sad,2.0,0.528138,0.0
assertive,assertive,1,assertive_assertive,,,
assertive,unrestrained,1,assertive_unrestrained,3.0,0.61771286,0.0
confident,confident,1,confident_confident,,,
confident,grouchy,1,confident_grouchy,0.0,0.5602616,1.0
confident,sad,1,confident_sad,1.0,0.6072695,1.0
confident,assertive,1,confident_assertive,2.0,0.68237734,1.0
confident,unrestrained,1,confident_unrestrained,3.0,0.61597276,1.0
grouchy,confident,1,grouchy_confident,0.0,0.54921085,2.0
grouchy,grouchy,1,grouchy_grouchy,,,
grouchy,sad,1,grouchy_sad,1.0,0.706455,2.0
grouchy,assertive,1,grouchy_assertive,2.0,0.55007607,2.0
grouchy,unrestrained,1,grouchy_unrestrained,3.0,0.598692,2.0
sad,confident,1,sad_confident,0.0,0.49469975,3.0
sad,grouchy,1,sad_grouchy,1.0,0.64888775,3.0
sad,sad,1,sad_sad,,,
sad,assertive,1,sad_assertive,2.0,0.5662983,3.0
sad,unrestrained,1,sad_unrestrained,3.0,0.59697735,3.0
unrestrained,confident,1,unrestrained_confident,0.0,0.6394496,4.0
unrestrained,grouchy,1,unrestrained_grouchy,1.0,0.58406913,4.0
unrestrained,sad,1,unrestrained_sad,2.0,0.5871847,4.0
unrestrained,assertive,1,unrestrained_assertive,3.0,0.64638144,4.0
unrestrained,unrestrained,1,unrestrained_unrestrained,,,
bold,nervous,2,bold_nervous,0.0,0.59905964,5.0
bold,irritable,2,bold_irritable,1.0,0.5773593,5.0
bold,lively,2,bold_lively,2.0,0.74788886,5.0
bold,bold,2,bold_bold,,,
bold,talkative,2,bold_talkative,3.0,0.74508154,5.0
irritable,nervous,2,irritable_nervous,0.0,0.6204972,6.0
irritable,irritable,2,irritable_irritable,,,
irritable,lively,2,irritable_lively,1.0,0.57463557,6.0
irritable,bold,2,irritable_bold,2.0,0.5715856,6.0
irritable,talkative,2,irritable_talkative,3.0,0.52682275,6.0
lively,nervous,2,lively_nervous,0.0,0.63326544,7.0
lively,irritable,2,lively_irritable,1.0,0.59549165,7.0
lively,lively,2,lively_lively,,,
lively,bold,2,lively_bold,2.0,0.77141434,7.0
lively,talkative,2,lively_talkative,3.0,0.74756676,7.0
nervous,nervous,2,nervous_nervous,,,
nervous,irritable,2,nervous_irritable,0.0,0.6611094,8.0
nervous,lively,2,nervous_lively,1.0,0.6010458,8.0
nervous,bold,2,nervous_bold,2.0,0.575964,8.0
nervous,talkative,2,nervous_talkative,3.0,0.6423889,8.0
talkative,nervous,2,talkative_nervous,0.0,0.6733264,9.0
talkative,irritable,2,talkative_irritable,1.0,0.61729425,9.0
talkative,lively,2,talkative_lively,2.0,0.7654425,9.0
talkative,bold,2,talkative_bold,3.0,0.71525306,9.0
talkative,talkative,2,talkative_talkative,,,
contempt,satisfaction,3,contempt_satisfaction,0.0,0.5750825,10.0
contempt,love,3,contempt_love,1.0,0.57307184,10.0
contempt,contempt,3,contempt_contempt,,,
contempt,disgust,3,contempt_disgust,2.0,0.6629497,10.0
contempt,embarrassment,3,contempt_embarrassment,3.0,0.6210157,10.0
disgust,satisfaction,3,disgust_satisfaction,0.0,0.52495414,11.0
disgust,love,3,disgust_love,1.0,0.5389905,11.0
disgust,contempt,3,disgust_contempt,2.0,0.6341308,11.0
disgust,disgust,3,disgust_disgust,,,
disgust,embarrassment,3,disgust_embarrassment,3.0,0.63397187,11.0
embarrassment,satisfaction,3,embarrassment_satisfaction,0.0,0.5297258,12.0
embarrassment,love,3,embarrassment_love,1.0,0.64773554,12.0
embarrassment,contempt,3,embarrassment_contempt,2.0,0.5904807,12.0
embarrassment,disgust,3,embarrassment_disgust,3.0,0.66407984,12.0
embarrassment,embarrassment,3,embarrassment_embarrassment,,,
love,satisfaction,3,love_satisfaction,0.0,0.7716049,13.0
love,love,3,love_love,,,
love,contempt,3,love_contempt,1.0,0.58519226,13.0
love,disgust,3,love_disgust,2.0,0.5142177,13.0
love,embarrassment,3,love_embarrassment,3.0,0.6780933,13.0
satisfaction,satisfaction,3,satisfaction_satisfaction,,,
satisfaction,love,3,satisfaction_love,0.0,0.75889903,14.0
satisfaction,contempt,3,satisfaction_contempt,1.0,0.590782,14.0
satisfaction,disgust,3,satisfaction_disgust,2.0,0.5484027,14.0
satisfaction,embarrassment,3,satisfaction_embarrassment,3.0,0.6213038,14.0
