state1,state2,set,statepair,to,value,from
assertive,confident,1,assertive_confident,0.0,0.7736746,0.0
assertive,grouchy,1,assertive_grouchy,1.0,0.43276706,0.0
assertive,sad,1,assertive_sad,2.0,0.34603631,0.0
assertive,assertive,1,assertive_assertive,,,
assertive,unrestrained,1,assertive_unrestrained,3.0,0.6589324,0.0
confident,confident,1,confident_confident,,,
confident,grouchy,1,confident_grouchy,0.0,0.34583813,1.0
confident,sad,1,confident_sad,1.0,0.3970663,1.0
confident,assertive,1,confident_assertive,2.0,0.7917972,1.0
confident,unrestrained,1,confident_unrestrained,3.0,0.709142,1.0
grouchy,confident,1,grouchy_confident,0.0,0.32029068,2.0
grouchy,grouchy,1,grouchy_grouchy,,,
grouchy,sad,1,grouchy_sad,1.0,0.6915873,2.0
grouchy,assertive,1,grouchy_assertive,2.0,0.5186986,2.0
grouchy,unrestrained,1,grouchy_unrestrained,3.0,0.474846,2.0
sad,confident,1,sad_confident,0.0,0.22535828,3.0
sad,grouchy,1,sad_grouchy,1.0,0.6862456,3.0
sad,sad,1,sad_sad,,,
sad,assertive,1,sad_assertive,2.0,0.26191655,3.0
sad,unrestrained,1,sad_unrestrained,3.0,0.3324096,3.0
unrestrained,confident,1,unrestrained_confident,0.0,0.6982431,4.0
unrestrained,grouchy,1,unrestrained_grouchy,1.0,0.43203562,4.0
unrestrained,sad,1,unrestrained_sad,2.0,0.40997034,4.0
unrestrained,assertive,1,unrestrained_assertive,3.0,0.6537816,4.0
unrestrained,unrestrained,1,unrestrained_unrestrained,,,
bold,nervous,2,bold_nervous,0.0,0.44784543,5.0
bold,irritable,2,bold_irritable,1.0,0.4173399,5.0
bold,lively,2,bold_lively,2.0,0.774917,5.0
bold,bold,2,bold_bold,,,
bold,talkative,2,bold_talkative,3.0,0.8166791,5.0
irritable,nervous,2,irritable_nervous,0.0,0.5221405,6.0
irritable,irritable,2,irritable_irritable,,,
irritable,lively,2,irritable_lively,1.0,0.32530397,6.0
irritable,bold,2,irritable_bold,2.0,0.41575274,6.0
irritable,talkative,2,irritable_talkative,3.0,0.3014924,6.0
lively,nervous,2,lively_nervous,0.0,0.44293267,7.0
lively,irritable,2,lively_irritable,1.0,0.41089222,7.0
lively,lively,2,lively_lively,,,
lively,bold,2,lively_bold,2.0,0.7765728,7.0
lively,talkative,2,lively_talkative,3.0,0.82182616,7.0
nervous,nervous,2,nervous_nervous,,,
nervous,irritable,2,nervous_irritable,0.0,0.66375345,8.0
nervous,lively,2,nervous_lively,1.0,0.41964585,8.0
nervous,bold,2,nervous_bold,2.0,0.32109275,8.0
nervous,talkative,2,nervous_talkative,3.0,0.5847342,8.0
talkative,nervous,2,talkative_nervous,0.0,0.5203576,9.0
talkative,irritable,2,talkative_irritable,1.0,0.41650367,9.0
talkative,lively,2,talkative_lively,2.0,0.8037865,9.0
talkative,bold,2,talkative_bold,3.0,0.77337927,9.0
talkative,talkative,2,talkative_talkative,,,
contempt,satisfaction,3,contempt_satisfaction,0.0,0.37512872,10.0
contempt,love,3,contempt_love,1.0,0.29786485,10.0
contempt,contempt,3,contempt_contempt,,,
contempt,disgust,3,contempt_disgust,2.0,0.6476307,10.0
contempt,embarrassment,3,contempt_embarrassment,3.0,0.46460757,10.0
disgust,satisfaction,3,disgust_satisfaction,0.0,0.25812882,11.0
disgust,love,3,disgust_love,1.0,0.21798633,11.0
disgust,contempt,3,disgust_contempt,2.0,0.6301545,11.0
disgust,disgust,3,disgust_disgust,,,
disgust,embarrassment,3,disgust_embarrassment,3.0,0.51035297,11.0
embarrassment,satisfaction,3,embarrassment_satisfaction,0.0,0.26314476,12.0
embarrassment,love,3,embarrassment_love,1.0,0.30622238,12.0
embarrassment,contempt,3,embarrassment_contempt,2.0,0.5256895,12.0
embarrassment,disgust,3,embarrassment_disgust,3.0,0.56008625,12.0
embarrassment,embarrassment,3,embarrassment_embarrassment,,,
love,satisfaction,3,love_satisfaction,0.0,0.782512,13.0
love,love,3,love_love,,,
love,contempt,3,love_contempt,1.0,0.37653393,13.0
love,disgust,3,love_disgust,2.0,0.26631808,13.0
love,embarrassment,3,love_embarrassment,3.0,0.50993603,13.0
satisfaction,satisfaction,3,satisfaction_satisfaction,,,
satisfaction,love,3,satisfaction_love,0.0,0.7320996,14.0
satisfaction,contempt,3,satisfaction_contempt,1.0,0.403735,14.0
satisfaction,disgust,3,satisfaction_disgust,2.0,0.28949603,14.0
satisfaction,embarrassment,3,satisfaction_embarrassment,3.0,0.35223025,14.0
