state1,state2,set,statepair,to,value,from
assertive,confident,1,assertive_confident,0.0,0.76029885,0.0
assertive,grouchy,1,assertive_grouchy,1.0,0.2666142,0.0
assertive,sad,1,assertive_sad,2.0,0.16349027,0.0
assertive,assertive,1,assertive_assertive,,,
assertive,unrestrained,1,assertive_unrestrained,3.0,0.5567786,0.0
confident,confident,1,confident_confident,,,
confident,grouchy,1,confident_grouchy,0.0,0.14647035,1.0
confident,sad,1,confident_sad,1.0,0.17074957,1.0
confident,assertive,1,confident_assertive,2.0,0.75905305,1.0
confident,unrestrained,1,confident_unrestrained,3.0,0.5886505,1.0
grouchy,confident,1,grouchy_confident,0.0,0.19199078,2.0
grouchy,grouchy,1,grouchy_grouchy,,,
grouchy,sad,1,grouchy_sad,1.0,0.5271874,2.0
grouchy,assertive,1,grouchy_assertive,2.0,0.38787407,2.0
grouchy,unrestrained,1,grouchy_unrestrained,3.0,0.3269735,2.0
sad,confident,1,sad_confident,0.0,0.19146504,3.0
sad,grouchy,1,sad_grouchy,1.0,0.5248293,3.0
sad,sad,1,sad_sad,,,
sad,assertive,1,sad_assertive,2.0,0.13624658,3.0
sad,unrestrained,1,sad_unrestrained,3.0,0.20076503,3.0
unrestrained,confident,1,unrestrained_confident,0.0,0.5648318,4.0
unrestrained,grouchy,1,unrestrained_grouchy,1.0,0.24109182,4.0
unrestrained,sad,1,unrestrained_sad,2.0,0.21944831,4.0
unrestrained,assertive,1,unrestrained_assertive,3.0,0.5323909,4.0
unrestrained,unrestrained,1,unrestrained_unrestrained,,,
bold,nervous,2,bold_nervous,0.0,0.32854366,5.0
bold,irritable,2,bold_irritable,1.0,0.21013452,5.0
bold,lively,2,bold_lively,2.0,0.7812972,5.0
bold,bold,2,bold_bold,,,
bold,talkative,2,bold_talkative,3.0,0.7943339,5.0
irritable,nervous,2,irritable_nervous,0.0,0.3895011,6.0
irritable,irritable,2,irritable_irritable,,,
irritable,lively,2,irritable_lively,1.0,0.23843414,6.0
irritable,bold,2,irritable_bold,2.0,0.29987782,6.0
irritable,talkative,2,irritable_talkative,3.0,0.28352106,6.0
lively,nervous,2,lively_nervous,0.0,0.25389895,7.0
lively,irritable,2,lively_irritable,1.0,0.21418905,7.0
lively,lively,2,lively_lively,,,
lively,bold,2,lively_bold,2.0,0.77174556,7.0
lively,talkative,2,lively_talkative,3.0,0.8235599,7.0
nervous,nervous,2,nervous_nervous,,,
nervous,irritable,2,nervous_irritable,0.0,0.55185056,8.0
nervous,lively,2,nervous_lively,1.0,0.3739711,8.0
nervous,bold,2,nervous_bold,2.0,0.25581312,8.0
nervous,talkative,2,nervous_talkative,3.0,0.49438092,8.0
talkative,nervous,2,talkative_nervous,0.0,0.41549876,9.0
talkative,irritable,2,talkative_irritable,1.0,0.24744755,9.0
talkative,lively,2,talkative_lively,2.0,0.8011052,9.0
talkative,bold,2,talkative_bold,3.0,0.7068784,9.0
talkative,talkative,2,talkative_talkative,,,
contempt,satisfaction,3,contempt_satisfaction,0.0,0.25630042,10.0
contempt,love,3,contempt_love,1.0,0.1644344,10.0
contempt,contempt,3,contempt_contempt,,,
contempt,disgust,3,contempt_disgust,2.0,0.55467147,10.0
contempt,embarrassment,3,contempt_embarrassment,3.0,0.27921695,10.0
disgust,satisfaction,3,disgust_satisfaction,0.0,0.1291043,11.0
disgust,love,3,disgust_love,1.0,0.09662992,11.0
disgust,contempt,3,disgust_contempt,2.0,0.51425487,11.0
disgust,disgust,3,disgust_disgust,,,
disgust,embarrassment,3,disgust_embarrassment,3.0,0.31899422,11.0
embarrassment,satisfaction,3,embarrassment_satisfaction,0.0,0.15481399,12.0
embarrassment,love,3,embarrassment_love,1.0,0.16617918,12.0
embarrassment,contempt,3,embarrassment_contempt,2.0,0.35078192,12.0
embarrassment,disgust,3,embarrassment_disgust,3.0,0.33459097,12.0
embarrassment,embarrassment,3,embarrassment_embarrassment,,,
love,satisfaction,3,love_satisfaction,0.0,0.74675566,13.0
love,love,3,love_love,,,
love,contempt,3,love_contempt,1.0,0.18834995,13.0
love,disgust,3,love_disgust,2.0,0.11370209,13.0
love,embarrassment,3,love_embarrassment,3.0,0.29787564,13.0
satisfaction,satisfaction,3,satisfaction_satisfaction,,,
satisfaction,love,3,satisfaction_love,0.0,0.64144725,14.0
satisfaction,contempt,3,satisfaction_contempt,1.0,0.23468901,14.0
satisfaction,disgust,3,satisfaction_disgust,2.0,0.13093653,14.0
satisfaction,embarrassment,3,satisfaction_embarrassment,3.0,0.19569094,14.0
