state1,state2,set,statepair,to,value,from
assertive,confident,1,assertive_confident,0.0,0.782308,0.0
assertive,grouchy,1,assertive_grouchy,1.0,0.29505298,0.0
assertive,sad,1,assertive_sad,2.0,0.17811272,0.0
assertive,assertive,1,assertive_assertive,,,
assertive,unrestrained,1,assertive_unrestrained,3.0,0.5360946,0.0
confident,confident,1,confident_confident,,,
confident,grouchy,1,confident_grouchy,0.0,0.16163309,1.0
confident,sad,1,confident_sad,1.0,0.1960813,1.0
confident,assertive,1,confident_assertive,2.0,0.7995772,1.0
confident,unrestrained,1,confident_unrestrained,3.0,0.59996146,1.0
grouchy,confident,1,grouchy_confident,0.0,0.18263876,2.0
grouchy,grouchy,1,grouchy_grouchy,,,
grouchy,sad,1,grouchy_sad,1.0,0.56919146,2.0
grouchy,assertive,1,grouchy_assertive,2.0,0.43282694,2.0
grouchy,unrestrained,1,grouchy_unrestrained,3.0,0.32484806,2.0
sad,confident,1,sad_confident,0.0,0.17187616,3.0
sad,grouchy,1,sad_grouchy,1.0,0.56168675,3.0
sad,sad,1,sad_sad,,,
sad,assertive,1,sad_assertive,2.0,0.14540626,3.0
sad,unrestrained,1,sad_unrestrained,3.0,0.2519797,3.0
unrestrained,confident,1,unrestrained_confident,0.0,0.58479965,4.0
unrestrained,grouchy,1,unrestrained_grouchy,1.0,0.25281113,4.0
unrestrained,sad,1,unrestrained_sad,2.0,0.29422605,4.0
unrestrained,assertive,1,unrestrained_assertive,3.0,0.53326213,4.0
unrestrained,unrestrained,1,unrestrained_unrestrained,,,
bold,nervous,2,bold_nervous,0.0,0.31626865,5.0
bold,irritable,2,bold_irritable,1.0,0.243486,5.0
bold,lively,2,bold_lively,2.0,0.7951754,5.0
bold,bold,2,bold_bold,,,
bold,talkative,2,bold_talkative,3.0,0.79424363,5.0
irritable,nervous,2,irritable_nervous,0.0,0.40517265,6.0
irritable,irritable,2,irritable_irritable,,,
irritable,lively,2,irritable_lively,1.0,0.2250767,6.0
irritable,bold,2,irritable_bold,2.0,0.35640198,6.0
irritable,talkative,2,irritable_talkative,3.0,0.25030747,6.0
lively,nervous,2,lively_nervous,0.0,0.27771237,7.0
lively,irritable,2,lively_irritable,1.0,0.21505247,7.0
lively,lively,2,lively_lively,,,
lively,bold,2,lively_bold,2.0,0.7879174,7.0
lively,talkative,2,lively_talkative,3.0,0.84385175,7.0
nervous,nervous,2,nervous_nervous,,,
nervous,irritable,2,nervous_irritable,0.0,0.5244798,8.0
nervous,lively,2,nervous_lively,1.0,0.3354082,8.0
nervous,bold,2,nervous_bold,2.0,0.24294914,8.0
nervous,talkative,2,nervous_talkative,3.0,0.41097888,8.0
talkative,nervous,2,talkative_nervous,0.0,0.38081068,9.0
talkative,irritable,2,talkative_irritable,1.0,0.2538842,9.0
talkative,lively,2,talkative_lively,2.0,0.8040178,9.0
talkative,bold,2,talkative_bold,3.0,0.7082669,9.0
talkative,talkative,2,talkative_talkative,,,
contempt,satisfaction,3,contempt_satisfaction,0.0,0.1279813,10.0
contempt,love,3,contempt_love,1.0,0.1003549,10.0
contempt,contempt,3,contempt_contempt,,,
contempt,disgust,3,contempt_disgust,2.0,0.63581985,10.0
contempt,embarrassment,3,contempt_embarrassment,3.0,0.29149362,10.0
disgust,satisfaction,3,disgust_satisfaction,0.0,0.11823686,11.0
disgust,love,3,disgust_love,1.0,0.07794144,11.0
disgust,contempt,3,disgust_contempt,2.0,0.61035067,11.0
disgust,disgust,3,disgust_disgust,,,
disgust,embarrassment,3,disgust_embarrassment,3.0,0.3315211,11.0
embarrassment,satisfaction,3,embarrassment_satisfaction,0.0,0.13315348,12.0
embarrassment,love,3,embarrassment_love,1.0,0.16285922,12.0
embarrassment,contempt,3,embarrassment_contempt,2.0,0.45347515,12.0
embarrassment,disgust,3,embarrassment_disgust,3.0,0.38420045,12.0
embarrassment,embarrassment,3,embarrassment_embarrassment,,,
love,satisfaction,3,love_satisfaction,0.0,0.7835445,13.0
love,love,3,love_love,,,
love,contempt,3,love_contempt,1.0,0.12656498,13.0
love,disgust,3,love_disgust,2.0,0.12711972,13.0
love,embarrassment,3,love_embarrassment,3.0,0.29304054,13.0
satisfaction,satisfaction,3,satisfaction_satisfaction,,,
satisfaction,love,3,satisfaction_love,0.0,0.59910816,14.0
satisfaction,contempt,3,satisfaction_contempt,1.0,0.12352332,14.0
satisfaction,disgust,3,satisfaction_disgust,2.0,0.13060896,14.0
satisfaction,embarrassment,3,satisfaction_embarrassment,3.0,0.1865603,14.0
