state1,state2,set,statepair,to,value,from
assertive,confident,1,assertive_confident,0.0,0.73278826,0.0
assertive,grouchy,1,assertive_grouchy,1.0,0.52123183,0.0
assertive,sad,1,assertive_sad,2.0,0.45433488,0.0
assertive,assertive,1,assertive_assertive,,,
assertive,unrestrained,1,assertive_unrestrained,3.0,0.60614026,0.0
confident,confident,1,confident_confident,,,
confident,grouchy,1,confident_grouchy,0.0,0.5147165,1.0
confident,sad,1,confident_sad,1.0,0.5449792,1.0
confident,assertive,1,confident_assertive,2.0,0.7136629,1.0
confident,unrestrained,1,confident_unrestrained,3.0,0.59668285,1.0
grouchy,confident,1,grouchy_confident,0.0,0.4595976,2.0
grouchy,grouchy,1,grouchy_grouchy,,,
grouchy,sad,1,grouchy_sad,1.0,0.66316646,2.0
grouchy,assertive,1,grouchy_assertive,2.0,0.5730682,2.0
grouchy,unrestrained,1,grouchy_unrestrained,3.0,0.5052963,2.0
sad,confident,1,sad_confident,0.0,0.4163921,3.0
sad,grouchy,1,sad_grouchy,1.0,0.6473072,3.0
sad,sad,1,sad_sad,,,
sad,assertive,1,sad_assertive,2.0,0.43359822,3.0
sad,unrestrained,1,sad_unrestrained,3.0,0.42235336,3.0
unrestrained,confident,1,unrestrained_confident,0.0,0.62303966,4.0
unrestrained,grouchy,1,unrestrained_grouchy,1.0,0.5252472,4.0
unrestrained,sad,1,unrestrained_sad,2.0,0.5403028,4.0
unrestrained,assertive,1,unrestrained_assertive,3.0,0.6089935,4.0
unrestrained,unrestrained,1,unrestrained_unrestrained,,,
bold,nervous,2,bold_nervous,0.0,0.55118746,5.0
bold,irritable,2,bold_irritable,1.0,0.54302835,5.0
bold,lively,2,bold_lively,2.0,0.74920267,5.0
bold,bold,2,bold_bold,,,
bold,talkative,2,bold_talkative,3.0,0.7628261,5.0
irritable,nervous,2,irritable_nervous,0.0,0.5743629,6.0
irritable,irritable,2,irritable_irritable,,,
irritable,lively,2,irritable_lively,1.0,0.46753198,6.0
irritable,bold,2,irritable_bold,2.0,0.4977017,6.0
irritable,talkative,2,irritable_talkative,3.0,0.42752063,6.0
lively,nervous,2,lively_nervous,0.0,0.5554646,7.0
lively,irritable,2,lively_irritable,1.0,0.5425208,7.0
lively,lively,2,lively_lively,,,
lively,bold,2,lively_bold,2.0,0.74961483,7.0
lively,talkative,2,lively_talkative,3.0,0.7738633,7.0
nervous,nervous,2,nervous_nervous,,,
nervous,irritable,2,nervous_irritable,0.0,0.680231,8.0
nervous,lively,2,nervous_lively,1.0,0.51531345,8.0
nervous,bold,2,nervous_bold,2.0,0.48117352,8.0
nervous,talkative,2,nervous_talkative,3.0,0.611927,8.0
talkative,nervous,2,talkative_nervous,0.0,0.59777355,9.0
talkative,irritable,2,talkative_irritable,1.0,0.54373586,9.0
talkative,lively,2,talkative_lively,2.0,0.7816397,9.0
talkative,bold,2,talkative_bold,3.0,0.7608374,9.0
talkative,talkative,2,talkative_talkative,,,
contempt,satisfaction,3,contempt_satisfaction,0.0,0.52777386,10.0
contempt,love,3,contempt_love,1.0,0.46918285,10.0
contempt,contempt,3,contempt_contempt,,,
contempt,disgust,3,contempt_disgust,2.0,0.6345514,10.0
contempt,embarrassment,3,contempt_embarrassment,3.0,0.52078027,10.0
disgust,satisfaction,3,disgust_satisfaction,0.0,0.4107331,11.0
disgust,love,3,disgust_love,1.0,0.4131858,11.0
disgust,contempt,3,disgust_contempt,2.0,0.58939797,11.0
disgust,disgust,3,disgust_disgust,,,
disgust,embarrassment,3,disgust_embarrassment,3.0,0.5493971,11.0
embarrassment,satisfaction,3,embarrassment_satisfaction,0.0,0.41080788,12.0
embarrassment,love,3,embarrassment_love,1.0,0.48579568,12.0
embarrassment,contempt,3,embarrassment_contempt,2.0,0.54033995,12.0
embarrassment,disgust,3,embarrassment_disgust,3.0,0.6040433,12.0
embarrassment,embarrassment,3,embarrassment_embarrassment,,,
love,satisfaction,3,love_satisfaction,0.0,0.7589407,13.0
love,love,3,love_love,,,
love,contempt,3,love_contempt,1.0,0.5416329,13.0
love,disgust,3,love_disgust,2.0,0.42718413,13.0
love,embarrassment,3,love_embarrassment,3.0,0.62736946,13.0
satisfaction,satisfaction,3,satisfaction_satisfaction,,,
satisfaction,love,3,satisfaction_love,0.0,0.7449395,14.0
satisfaction,contempt,3,satisfaction_contempt,1.0,0.5446336,14.0
satisfaction,disgust,3,satisfaction_disgust,2.0,0.4730726,14.0
satisfaction,embarrassment,3,satisfaction_embarrassment,3.0,0.5287941,14.0
