state1,state2,set,statepair,step,from,to,grp_h,grp_s_1,grp_s_2,grp_s_3,dim_1,dim_2,dim_3
assertive,confident,1,assertive_confident,0,0.0,0.0,2.0,0.1080000028014183,0.35600000619888306,0.5360000133514404,0.7804946303367615,0.10012335330247879,0.11938200891017914
assertive,grouchy,1,assertive_grouchy,0,0.0,1.0,1.0,0.3659999966621399,0.6119999885559082,0.02199999988079071,0.0905628353357315,0.0839129313826561,0.8255242705345154
assertive,sad,1,assertive_sad,0,0.0,2.0,1.0,0.3619999885559082,0.6000000238418579,0.03799999877810478,0.08933889865875244,0.08440542221069336,0.8262556791305542
assertive,assertive,1,assertive_assertive,0,,,,,,,,,
assertive,unrestrained,1,assertive_unrestrained,0,0.0,3.0,1.0,0.08799999952316284,0.7639999985694885,0.14800000190734863,0.08825128525495529,0.088058240711689,0.8236904740333557
confident,confident,1,confident_confident,0,,,,,,,,,
confident,grouchy,1,confident_grouchy,0,1.0,0.0,1.0,0.3919999897480011,0.5659999847412109,0.041999999433755875,0.09043890982866287,0.08340837061405182,0.8261527419090271
confident,sad,1,confident_sad,0,1.0,1.0,1.0,0.30399999022483826,0.6779999732971191,0.017999999225139618,0.09057492017745972,0.08502709120512009,0.8243979811668396
confident,assertive,1,confident_assertive,0,1.0,2.0,2.0,0.0560000017285347,0.24400000274181366,0.699999988079071,0.7823317050933838,0.09994910657405853,0.11771909892559052
confident,unrestrained,1,confident_unrestrained,0,1.0,3.0,1.0,0.12200000137090683,0.7680000066757202,0.10999999940395355,0.44518721103668213,0.055226802825927734,0.49958598613739014
grouchy,confident,1,grouchy_confident,0,2.0,0.0,1.0,0.41200000047683716,0.5580000281333923,0.029999999329447746,0.08924279361963272,0.08086434006690979,0.8298928141593933
grouchy,grouchy,1,grouchy_grouchy,0,,,,,,,,,
grouchy,sad,1,grouchy_sad,0,2.0,1.0,1.0,0.27399998903274536,0.7120000123977661,0.014000000432133675,0.09014562517404556,0.08927454054355621,0.8205798268318176
grouchy,assertive,1,grouchy_assertive,0,2.0,2.0,1.0,0.36800000071525574,0.515999972820282,0.11599999666213989,0.08847901225090027,0.0856490507721901,0.8258718848228455
grouchy,unrestrained,1,grouchy_unrestrained,0,2.0,3.0,1.0,0.36800000071525574,0.5699999928474426,0.06199999898672104,0.08789021521806717,0.08416052907705307,0.8279492855072021
sad,confident,1,sad_confident,0,3.0,0.0,1.0,0.4659999907016754,0.5019999742507935,0.03200000151991844,0.08853219449520111,0.07787167280912399,0.8335961699485779
sad,grouchy,1,sad_grouchy,0,3.0,1.0,1.0,0.14800000190734863,0.7059999704360962,0.1459999978542328,0.0907227173447609,0.08954793959856033,0.8197293281555176
sad,sad,1,sad_sad,0,,,,,,,,,
sad,assertive,1,sad_assertive,0,3.0,2.0,1.0,0.4620000123977661,0.5180000066757202,0.019999999552965164,0.08926034718751907,0.08310139924287796,0.8276382684707642
sad,unrestrained,1,sad_unrestrained,0,3.0,3.0,1.0,0.4659999907016754,0.47600001096725464,0.057999998331069946,0.08850405365228653,0.08523332327604294,0.8262625932693481
unrestrained,confident,1,unrestrained_confident,0,4.0,0.0,1.0,0.07400000095367432,0.7319999933242798,0.1940000057220459,0.08285879343748093,0.08884868025779724,0.8282925486564636
unrestrained,grouchy,1,unrestrained_grouchy,0,4.0,1.0,1.0,0.3880000114440918,0.6000000238418579,0.012000000104308128,0.08974981307983398,0.08555885404348373,0.8246913552284241
unrestrained,sad,1,unrestrained_sad,0,4.0,2.0,1.0,0.335999995470047,0.6140000224113464,0.05000000074505806,0.09024921804666519,0.08639397472143173,0.8233568072319031
unrestrained,assertive,1,unrestrained_assertive,0,4.0,3.0,1.0,0.14800000190734863,0.7400000095367432,0.1120000034570694,0.089970164000988,0.08834660053253174,0.8216832876205444
unrestrained,unrestrained,1,unrestrained_unrestrained,0,,,,,,,,,
bold,nervous,2,bold_nervous,0,5.0,0.0,1.0,0.335999995470047,0.6299999952316284,0.03400000184774399,0.08976474404335022,0.0839858427643776,0.8262494206428528
bold,irritable,2,bold_irritable,0,5.0,1.0,1.0,0.3140000104904175,0.6620000004768372,0.024000000208616257,0.0908440575003624,0.0856027901172638,0.8235531449317932
bold,lively,2,bold_lively,0,5.0,2.0,2.0,0.257999986410141,0.18799999356269836,0.5540000200271606,0.7869971990585327,0.09946748614311218,0.1135353147983551
bold,bold,2,bold_bold,0,,,,,,,,,
bold,talkative,2,bold_talkative,0,5.0,3.0,2.0,0.2160000056028366,0.009999999776482582,0.7739999890327454,0.7853005528450012,0.09972827881574631,0.11497116088867188
irritable,nervous,2,irritable_nervous,0,6.0,0.0,1.0,0.3199999928474426,0.6579999923706055,0.02199999988079071,0.0902395248413086,0.08731035143136978,0.8224501013755798
irritable,irritable,2,irritable_irritable,0,,,,,,,,,
irritable,lively,2,irritable_lively,0,6.0,1.0,1.0,0.49399998784065247,0.4740000069141388,0.03200000151991844,0.08828415721654892,0.08027652651071548,0.8314393162727356
irritable,bold,2,irritable_bold,0,6.0,2.0,1.0,0.49399998784065247,0.44999998807907104,0.0560000017285347,0.0885247066617012,0.08442243933677673,0.827052891254425
